season,team,conference,totalPPA,totalPassingPPA,totalReceivingPPA,totalRushingPPA,percentPPA,percentPassingPPA,percentReceivingPPA,percentRushingPPA,usage,passingUsage,receivingUsage,rushingUsage
2022,Nevada,Mountain West,40.3,0.1,14.6,25.5,0.074,0,0.049,0.988,0.287,0.085,0.208,0.883
2022,New Mexico,Mountain West,21.1,-13.1,47.9,-13.7,0.431,1.284,0.692,1.305,0.364,0.356,0.654,0.288
2022,New Mexico State,FBS Independents,63.1,15.4,49.5,-1.8,0.259,0.293,0.315,-0.053,0.287,0.153,0.365,0.508
2022,North Carolina,ACC,225.1,29.8,159.8,35.4,0.444,0.26,0.723,0.207,0.356,0.09,0.771,0.297
2022,Northern Illinois,Mid-American,378,133.9,132.6,111.4,0.809,0.991,0.706,0.774,0.762,0.902,0.668,0.701
2022,North Texas,Conference USA,228.8,51,114.4,63.4,0.758,0.953,0.719,0.712,0.756,0.997,0.758,0.584
2022,Northwestern,Big Ten,138.6,21.4,77.3,39.9,0.37,0.3,0.375,0.41,0.411,0.335,0.418,0.465
2022,Notre Dame,FBS Independents,220.4,40.8,144.8,34.8,0.424,0.223,0.528,0.555,0.402,0.155,0.683,0.424
2022,Ohio,Mid-American,116.9,46.6,39.1,31.1,0.457,0.742,0.364,0.365,0.519,0.816,0.296,0.385
2022,Ohio State,Big Ten,589.4,261.8,243,84.7,0.748,0.877,0.642,0.766,0.743,0.953,0.492,0.755
2022,Oklahoma,Big 12,143.4,15.2,110.6,17.6,0.275,0.085,0.464,0.17,0.212,0.016,0.358,0.287
2022,Oklahoma State,Big 12,292.5,119.7,132.9,40,0.941,0.884,0.958,1.081,0.662,0.877,0.813,0.406
2022,Old Dominion,Conference USA,283.7,86.4,141.6,55.7,0.773,0.93,0.647,1.013,0.901,0.997,0.695,0.995
2022,Ole Miss,SEC,14.7,-18.3,31.8,1.1,0.032,-0.16,0.164,0.007,0.107,0.11,0.201,0.041
2022,Oregon,Pac-12,78.8,9,57.2,12.7,0.172,0.073,0.313,0.083,0.169,0.046,0.383,0.133
2022,Oregon State,Pac-12,328.8,134.2,106.9,87.7,0.7,0.935,0.572,0.63,0.641,0.909,0.515,0.497
2022,Penn State,Big Ten,252.6,102.5,127.2,22.9,0.747,0.914,0.617,1.145,0.692,0.933,0.501,0.536
2022,Pittsburgh,ACC,187.7,22.4,110.1,55.3,0.285,0.103,0.325,0.546,0.387,0.041,0.385,0.805
2022,Purdue,Big Ten,337.2,201.7,139.6,-4.1,0.601,0.834,0.424,0.427,0.603,0.758,0.439,0.569
2022,Rice,Conference USA,96.7,8.9,49.6,38.2,0.368,0.138,0.339,0.74,0.385,0.371,0.335,0.425
2022,Rutgers,Big Ten,127.7,14.7,60.8,52.2,0.645,0.936,0.519,0.807,0.709,0.933,0.593,0.589
2022,San Diego State,Mountain West,91.2,2,77.6,11.6,0.334,0.03,0.52,0.208,0.242,0.04,0.502,0.28
2022,San José State,Mountain West,113.7,26.6,66.8,20.3,0.602,0.617,0.565,0.746,0.515,0.4,0.747,0.483
2022,SMU,American Athletic,417,224.9,131.6,60.5,0.693,0.984,0.447,0.767,0.743,0.985,0.466,0.714
2022,South Alabama,Sun Belt,109.7,21.1,90.5,-1.9,0.358,0.188,0.501,-0.148,0.517,0.333,0.57,0.697
2022,South Carolina,SEC,181.8,43.2,136.5,2.1,0.654,0.439,0.843,0.121,0.548,0.438,0.776,0.497
2022,Southern Mississippi,Conference USA,121.9,43.5,64.9,13.5,0.781,0.926,0.712,0.754,0.878,0.946,0.812,0.846
2022,South Florida,American Athletic,165.2,-3.6,120,48.8,0.513,-0.059,0.737,0.497,0.383,0.098,0.702,0.475
2022,Stanford,Pac-12,201.2,94.7,97,9.5,0.853,0.98,0.867,0.347,0.678,0.883,0.797,0.264
2022,Syracuse,ACC,233.4,40.2,101.7,91.5,0.684,0.655,0.596,0.836,0.793,0.872,0.562,0.883
2022,TCU,Big 12,363.7,145,168.2,50.5,0.848,0.98,0.866,0.58,0.833,0.996,0.878,0.688
2022,Temple,American Athletic,146.3,41.9,91.4,13,0.71,1.416,0.693,0.289,0.543,0.586,0.572,0.471
2022,Tennessee,SEC,398.7,150.1,140.2,108.4,0.767,1.018,0.605,0.77,0.806,0.981,0.639,0.776
2022,Texas,Big 12,224.5,35.3,130,59.2,0.528,0.26,0.637,0.695,0.606,0.267,0.633,0.889
2022,Texas A&M,SEC,165.4,25.4,85.8,54.2,0.482,0.308,0.517,0.575,0.339,0.112,0.515,0.434
2022,Texas State,Sun Belt,141.2,4.9,103.3,32.9,0.527,0.061,0.741,0.683,0.424,0.006,0.856,0.565
2022,Texas Tech,Big 12,255.5,94.4,105.6,55.4,0.564,0.654,0.467,0.67,0.656,0.584,0.474,0.866
2022,Toledo,Mid-American,227,88.2,62.9,76,0.533,0.819,0.352,0.543,0.533,0.682,0.413,0.479
2022,Troy,Sun Belt,256.6,68.3,170.2,18.2,0.675,0.548,0.749,0.657,0.642,0.555,0.722,0.688
2022,Tulane,American Athletic,276.3,72,133.4,70.8,0.88,0.996,0.801,0.947,0.885,0.99,0.765,0.866
2022,Tulsa,American Athletic,187.1,96.9,49.7,40.4,0.587,1,0.276,0.964,0.652,1,0.343,0.56
2022,UAB,Conference USA,290.6,114.2,85.7,90.7,0.812,0.919,0.626,0.933,0.776,0.789,0.579,0.847
2022,UCF,American Athletic,239.8,62.2,94.5,83.1,0.636,0.686,0.529,0.772,0.799,0.714,0.713,0.932
2022,UCLA,Pac-12,320.9,140.5,58.4,122,0.611,1,0.253,0.79,0.751,1,0.345,0.765
2022,UMass,FBS Independents,112.5,4.4,61.1,47,0.798,0.449,0.807,0.839,0.848,0.853,0.723,0.93
2022,UNLV,Mountain West,83.4,42,40.2,1.1,0.477,0.682,0.39,0.105,0.519,0.781,0.385,0.221
2022,USC,Pac-12,114.2,3.2,98.7,12.3,0.22,0.017,0.351,0.247,0.156,0.002,0.358,0.131
2022,Utah,Pac-12,410.6,108.1,167.3,135.2,0.848,0.874,0.757,0.972,0.825,0.789,0.685,0.957
2022,Utah State,Mountain West,251.3,167.7,80.2,3.4,0.273,0.394,0.188,0.051,0.368,0.422,0.185,0.396
2022,UTEP,Conference USA,245.6,143.4,90.9,11.3,0.625,0.941,0.411,0.592,0.786,0.993,0.339,0.845
2022,UT San Antonio,Conference USA,451.8,190.6,222.6,38.6,0.823,0.987,0.856,0.404,0.637,0.916,0.873,0.22
2022,Vanderbilt,SEC,132.6,49.3,60,23.3,0.687,0.982,0.479,1.339,0.832,0.976,0.456,0.958
2022,Virginia,ACC,489.3,209.5,223,56.9,0.801,1,0.699,0.686,0.814,1,0.697,0.627
2022,Virginia Tech,ACC,83.2,6.2,68.3,8.7,0.258,0.073,0.387,0.144,0.327,0.125,0.326,0.467
2022,Wake Forest,ACC,494.5,220.7,205.6,68.2,0.792,1.006,0.636,0.836,0.78,0.994,0.593,0.708
2022,Washington,Pac-12,242.3,102,120.5,19.8,0.819,1.023,0.73,0.633,0.735,0.989,0.692,0.467
2022,Washington State,Pac-12,18.4,-1,30.3,-10.9,0.079,-0.008,0.594,-0.173,0.088,0.002,0.5,0.115
2022,Western Kentucky,Conference USA,137.1,,130.4,6.6,0.168,0,0.26,0.126,0.149,0,0.255,0.189
2022,Western Michigan,Mid-American,178.3,12.6,61,104.7,0.312,0.079,0.236,0.681,0.396,0.026,0.228,0.737
2022,West Virginia,Big 12,65.9,-3.9,55.1,14.6,0.185,-0.034,0.31,0.229,0.219,0.061,0.342,0.33
2022,Wisconsin,Big Ten,205.2,71.3,42.9,91,0.684,0.898,0.331,0.999,0.799,0.99,0.321,0.889
2022,Wyoming,Mountain West,79.3,,57.6,21.7,0.225,0,0.344,0.205,0.228,0,0.427,0.293
